"Id,N,6,0","P1,N,1,0","P2,N,1,0"
2,1,1
1,1,1
3,1,1
4,1,1
5,1,0
6,1,1
7,1,1
8,1,1
9,1,1
10,0,1
11,0,1
12,1,0
13,,
14,0,1
16,1,1
17,0,1
18,1,1
15,0,1
19,,
20,,
21,0,1
23,1,1
24,,
25,,
28,1,0
29,,
26,0,0
22,1,1
27,,
