id_dataset,code_secteur,code_site,nom_site,x_l93,y_l93,date_visite,observateurs,condition_prospection,nom_taxon,nom_complet_taxon,techn_observation,statut_observation,nb_ep_tot,nb_ep_w,nb_ep_dnf,nb_ep_df,annee,mois,jour,statut_presence,date_annee,annee_perm,annee_perm_index
85,J25,J25-060,Rue Sainte GeneviÃ¨ve-Garlan,198645.3166198826,6854254.0010517975,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2018,7
85,J25,J25-031,kerampont-ruisseau,207854.35493376944,6855549.200167844,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2012,1
85,J25,J25-017,TraonbÃ©zÃ©den-aff.Lapic,206927.727717579,6859692.451542788,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,0,0,0,0,2023,5,31,0,151,2011,0
85,J25,J25-015,Kervron-la vallÃ©e des moulins,202290.30005823844,6864547.270801303,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2016,5
85,J25,J25-004,"Lieu-dit Milin ar C'hranken, Le corniou rau",196435.1375518224,6861850.3100996325,2023-05-31T00:00:00Z,BTS GPN Suscinio,Bonnes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,5,0,1,4,2023,5,31,1,151,2023,12
85,J25,J25-046,Pont Braz - aff. Dourduff,203149.001014086,6854944.724638275,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2023,12
85,J25,J25-048,PONT HUBERT-DOURDUFF,201637.755084234,6855587.415012228,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,2,0,2,0,2023,5,31,1,151,2016,5
85,J25,J25-027,Kerudal,208631.15566600626,6861812.424482265,2019-05-21T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2019,5,21,0,141,2018,7
85,J25,J25-054,Les 3 vallÃ©es-Dourduff,199929.57686663984,6855996.440980227,2018-05-29T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2018,5,29,0,149,2017,6
85,J25,J25-001,Le dourduff,196647.99003448174,6857784.453667775,2019-05-21T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,1,0,0,2019,5,21,0,141,2019,8
85,J25,J25-049,Kerverge-Belle fontaine,200899.0628571828,6855278.808279008,2011-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2011,4,22,0,112,2018,7
85,J25,J25-011,Kermoran-Pontplencoat,201570.17038311652,6861906.423581969,2023-05-23T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,2,0,0,2,2023,5,23,1,143,2017,6
85,J25,J25-058,Pennanroz-Garlan,200278.7284768775,6854151.010629809,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2018,7
85,J25,J25-022,Traon Dour,207501.39052856347,6862645.100988084,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2017,6
85,J25,J25-033,porscoadalen-ruisseau,206960.27656523214,6853242.860413759,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2023,5,31,0,151,2019,8
85,J25,J25-018,Le Traon-aff.Lapic,208372.88759275188,6859869.824911443,2023-05-31T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Présent,0,0,0,0,2023,5,31,0,151,2019,8
