code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
117	3	48.65818	 -3.55925	Tréduder	Roscoat	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
118	4	48.62591	 -3.53416	Lanvellec	Roscoat (affluent)	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
119	2	48.625,	 -3.567	Plufur	Yar (Dour Elego)	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
120	3	 48.60933	 -3.5501	Lanvellec	Yar (Dour Elego)	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
121	4	48.4606	-3.527	Lanvellec	Roscoat (affluent)	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
122	3	48.64888	-3.55396	Plouzelmabre	Roscoat	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
123	4	48.685150	 -3.567602	St Michel en Grève	Kerdu	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
124	2	48.628623	  -3.583876	Plufur	Yar	NA	NA	NA	NA	NA	NA	NA	NA	Favorable	NA	NA	NA	NA	NA
1	1	48.585217	 -3.573359	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
2	1	48.62083	 -3.590561	Plufur	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
3	4	48.61123	 -3.51294	Plouaret	Roscoat	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
5	4	48.62734	 -3.51969	Plouaret	Roscoat	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
7	3	48.63302	 -3.543	Lanvellec	Roscoat	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Très favorable	NA	Peut-être	NA	NA	NA
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	NA	2020	10	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
16	2	48.65719	 -3.57631	Tréduder	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
24	1	48.622,	 -3.603	Trémel	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
