code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
120	3	 48.60933	 -3.5501	Lanvellec	Yar (Dour Elego)	08/03/2021	2021	3	8	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
121	4	48.4606	-3.527	Lanvellec	Roscoat (affluent)	23/03/2021	2021	3	23	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
122	3	48.64888	-3.55396	Plouzelmabre	Roscoat	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
123	4	48.685150	 -3.567602	St Michel en Grève	Kerdu	09/03/2021	2021	3	9	Nicolas Boudereaux	0	NA	NA	Favorable	NA	0	0	0	0
124	2	48.628623	  -3.583876	Plufur	Yar	23/03/2021	2021	3	23	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
1	1	48.585217	 -3.573359	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
2	1	48.62083	 -3.590561	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
3	4	48.61123	 -3.51294	Plouaret	Roscoat	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Seche et Fragmentée	 + marquage urine	Favorable	NA	1	0	0	1
5	4	48.62734	 -3.51969	Plouaret	Roscoat	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Humide	2H+2SI+1SF	Très favorable	NA	5	2	2	1
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Humide	1H+1SI+1SF+Fécès ragondin	Favorable	NA	3	1	1	1
7	3	48.63302	 -3.543	Lanvellec	Roscoat	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	1	Humide	NA	Très favorable	NA	1	1	0	0
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	Tvx en cours	Favorable	NA	0	0	0	0
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	NA	Favorable	NA	1	0	1	0
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	NA	Favorable	NA	1	1	0	0
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Très favorable	NA	0	0	0	0
16	2	48.65719	 -3.57631	Tréduder	Yar	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	FS Renard + Héron cendré	Favorable	NA	0	0	0	0
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	15/10/2021	2021	10	15	Maxime CHAPELLE, Morgane GELEBART et Marine IHUEL	1	Seche et Fragmentée	 3 SF	Favorable	NA	3	0	0	3
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
24	1	48.622,	 -3.603	Trémel	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	en amont trons c'arbres disparus	Favorable	NA	0	0	0	0
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Humide	multitudes emrpeintes ragondins + micromammifères	Favorable	NA	1	1	0	0
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Seche et Fragmentée	2SF+musc+féces rat musqué	Favorable	NA	2	0	0	2
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	2SI	Très favorable	NA	2	0	2	0
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
45	2	48.59425	 -3.57095	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
46	3	48.632757	 -3.562284	Plufur	Yar	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	1	Humide	NA	Favorable	NA	1	1	0	0
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
53	2	48.61999	 -3.5675	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
54	2	48.60418	 -3.5697	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Très favorable	NA	0	0	0	0
58	1	48.599651,	 -3.601555	Trémel	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Seche et Fragmentée	ilot entretenu récemment	Très favorable	NA	1	0	0	1
61	1	48.566940	  -3.563340	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	Vues aux 2 entrées + loutroduc	Très favorable	NA	1	1	0	0
62	1	48.560412	 -3.569003	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	NA	NA	NA	1	1	0	0
64	1	48.554	- 3.578	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
65	1	48.553	 - 3.580	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
68	3	48.572835	 -3.551346	Plounérin	Yar	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
69	3	48.56967	 -3.52704	Plounérin	Yar (Dour Elego)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	Urine possible	Favorable	NA	0	0	0	0
70	3	48.57807,	 -3.54197	Plounérin	Yar	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
72	NA	NA	NA	Plounérin	Yar (Dour Elego)	NA	NA	NA	NA	NA	NA	NA	NA	Très favorable	NA	NA	NA	NA	NA
73	3	48.58387	-3.52232	Plounérin	Yar (Dour Elego)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Très favorable	NA	0	0	0	0
732	3	48.58358,	-3.52669	Plounérin	Yar	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
74	2	48.62057	 -3.54953	Plufur	Yar (Dour Elego)	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	2 sèches + FS de martres	Favorable	NA	2	0	2	0
79	3	48.614383	 -3.535376	Lanvellec	Roscoat (affluent)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
80	1	48.572,	 -3.574	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	NA	Favorable	NA	1	1	0	0
84	1	48.567684	 -3.568024	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	NA	Très favorable	NA	1	0	1	0
85	1	48.567294	 -3.563966	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	Nbreuses fraiches + anciennes	Très favorable	NA	1	1	0	0
86	1	48.566896	 -3.561653	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	Nombreuses	Favorable	NA	1	1	0	0
91	1	48.669011	 -3.595285	Saint Efflam	Quinquis	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
93	2	48.64606	 -3.57688	Plestin les Grèves	Yar (Dour Elego)	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	FS Hermine/Belette	Favorable	NA	1	0	1	0
97	4	48.646675	 -3.523823	Plouzélambre	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
98	4	48.63718	 -3.52098	Plouzélambre	Roscoat	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Seche et Intacte	1SI+1SF+féces mustélidé	Favorable	NA	2	0	1	1
108	4	48.61957	-3.53	Lanvellec	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
109	4	48.61617	 -3.53018	Lanvellec	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
110	4	48.61152	 -3.51675	Lanvellec	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
113	1	48.56544	-3.563496	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	Nbreuses + Crottes ragondins	Favorable	NA	1	1	NA	NA
114	1	48.564550	  -3.561585	Plounérin	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
115	2	48.5952	 -3.59922	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	1	Humide	4 anciennes + 1 récentes	Favorable	NA	0	5?	0	0
116	3	48.59376	-3.54209	Lanvellec	Yar (Dour Elego)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	1	Seche et Intacte	NA	Favorable	NA	1	0	1	0
117	3	48.65818	 -3.55925	Tréduder	Roscoat	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	1	Seche et Intacte	epreinte 500 m plus loin	Favorable	NA	1	0	1	0
118	4	48.62591	 -3.53416	Lanvellec	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	marquage urine	Favorable	NA	0	0	0	0
119	2	48.625,	 -3.567	Plufur	Yar (Dour Elego)	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
120	3	 48.60933	 -3.5501	Lanvellec	Yar (Dour Elego)	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	1	Humide	NA	Favorable	NA	1	1	0	0
121	4	48.4606	-3.527	Lanvellec	Roscoat (affluent)	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	0	NA	NA	Favorable	NA	0	0	0	0
122	3	48.64888	-3.55396	Plouzelmabre	Roscoat	14/10/2021	2021	10	14	Maxime CHAPELLE et David MENANTEAU 	0	NA	NA	Favorable	NA	0	0	0	0
123	4	48.685150	 -3.567602	St Michel en Grève	Kerdu	15/10/2021	2021	10	15	Morgane GELEBART et Marine IHUEL	1	Humide	NA	Favorable	NA	1	1	0	0
124	2	48.628623	  -3.583876	Plufur	Yar	14/10/2021	2021	10	14	Morgane GELEBART et Marine IHUEL	0	NA	empreintes chevreuils	Favorable	NA	0	0	0	0
1	1	48.585217	 -3.573359	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	1	Humide	1 H + 1 SF	Favorable	NA	2	1	0	1
2	1	48.62083	 -3.590561	Plufur	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
3	4	48.61123	 -3.51294	Plouaret	Roscoat	28/03/2022	2022	3	28	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
5	4	48.62734	 -3.51969	Plouaret	Roscoat	28/03/2022	2022	3	28	David Menanteau	1	Seche et Intacte	NA	Très favorable	NA	1	0	1	0
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	28/03/2022	2022	3	28	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
7	3	48.63302	 -3.543	Lanvellec	Roscoat	28/03/2022	2022	3	28	Marine Ihuel et Amélie Desmas	1	Humide	NA	Très favorable	NA	1	1	0	0
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	28/03/2022	2022	3	28	Marine Ihuel et Amélie Desmas	1	Seche et Fragmentée	Tvx en cours	Favorable	NA	1	0	0	1
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	1	Seche et Intacte	NA	Favorable	NA	1	0	1	0
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	25/03/2022	2022	3	25	Marine Ihuel et Amélie Desmas	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	25/03/2022	2022	3	25	Marine Ihuel et Amélie Desmas	1	Humide	NA	Très favorable	NA	1	1	0	0
16	2	48.65719	 -3.57631	Tréduder	Yar	25/03/2022	2022	3	25	David Menanteau	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	25/03/2022	2022	3	25	David Menanteau	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	25/03/2022	2022	3	25	David Menanteau	1	Seche et Intacte	NA	Favorable	NA	1	0	1	0
24	1	48.622,	 -3.603	Trémel	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	en amont trons c'arbres disparus	Favorable	NA	0	0	0	0
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	28/03/2022	2022	3	28	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	28/03/2022	2022	3	28	David Menanteau	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	28/03/2022	2022	3	28	David Menanteau	1	Humide	NA	Très favorable	NA	1	1	0	0
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
45	2	48.59425	 -3.57095	Plufur	Yar	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
46	3	48.632757	 -3.562284	Plufur	Yar	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	1	NA	Empreinte	Favorable	NA	1	NA	NA	NA
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	25/03/2022	2022	3	25	Marine Ihuel et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
53	2	48.61999	 -3.5675	Plufur	Yar	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
54	2	48.60418	 -3.5697	Plufur	Yar	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Très favorable	NA	0	0	0	0
58	1	48.599651,	 -3.601555	Trémel	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	1	Seche et Fragmentée	NA	Très favorable	NA	1	0	0	1
61	1	48.566940	  -3.563340	Plounérin	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	Vue en haut du loutroduc	Très favorable	NA	1	1	0	0
62	1	48.560412	 -3.569003	Plounérin	Yar	25/03/2022	2022	3	25	David Menanteau	1	Seche et Fragmentée	NA	NA	NA	1	0	0	1
64	1	48.554	- 3.578	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
65	1	48.553	 - 3.580	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
68	3	48.572835	 -3.551346	Plounérin	Yar	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	0	NA	NA	Favorable	NA	0	0	0	0
69	3	48.56967	 -3.52704	Plounérin	Yar (Dour Elego)	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	0	NA	Urine possible	Favorable	NA	0	0	0	0
70	3	48.57807,	 -3.54197	Plounérin	Yar	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	1	Seche et Fragmentée	Ragondin + emprinte de chevreuil	Favorable	NA	1	0	0	1
72	NA	NA	NA	Plounérin	Yar (Dour Elego)	NA	NA	NA	NA	NA	NA	NA	NA	Très favorable	NA	NA	NA	NA	NA
73	3	48.58387	-3.52232	Plounérin	Yar (Dour Elego)	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	0	NA	NA	Très favorable	NA	0	0	0	0
732	3	48.58358,	-3.52669	Plounérin	Yar	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	0	NA	NA	Favorable	NA	0	0	0	0
74	2	48.62057	 -3.54953	Plufur	Yar (Dour Elego)	25/03/2022	2022	3	25	David Menanteau	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
79	3	48.614383	 -3.535376	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
80	1	48.572,	 -3.574	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	Humide	NA	Favorable	NA	1	1	0	0
84	1	48.567684	 -3.568024	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	1	Humide	2SI + 2H	Très favorable	NA	4	2	2	0
85	1	48.567294	 -3.563966	Plounérin	Yar	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	1	Humide	Très nombreuses	Très favorable	NA	0	x	0	0
86	1	48.566896	 -3.561653	Plounérin	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	Nombreuses	Favorable	NA	0	x	0	0
91	1	48.669011	 -3.595285	Saint Efflam	Quinquis	25/03/2022	2022	3	25	Maxime CHAPELLE et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
93	2	48.64606	 -3.57688	Plestin les Grèves	Yar (Dour Elego)	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
97	4	48.646675	 -3.523823	Plouzélambre	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
98	4	48.63718	 -3.52098	Plouzélambre	Roscoat	28/03/2022	2022	3	28	David Menanteau	1	Seche et Intacte	NA	Favorable	NA	1	0	1	0
108	4	48.61957	-3.53	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
109	4	48.61617	 -3.53018	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
110	4	48.61152	 -3.51675	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
113	1	48.56544	-3.563496	Plounérin	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	Nbreuses + Crottes ragondins	Favorable	NA	0	x	0	0
114	1	48.564550	  -3.561585	Plounérin	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	Nbreuses + Crottes ragondins	Favorable	NA	0	x	0	0
115	2	48.5952	 -3.59922	Plufur	Yar	25/03/2022	2022	3	25	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
116	3	48.59376	-3.54209	Lanvellec	Yar (Dour Elego)	25/03/2022	2022	3	25	Marine Ihuel et Loane Rouiller	1	Humide	NA	Favorable	NA	1	1	0	0
117	3	48.65818	 -3.55925	Tréduder	Roscoat	25/03/2022	2022	3	25	Marine Ihuel et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
118	4	48.62591	 -3.53416	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
119	2	48.625,	 -3.567	Plufur	Yar (Dour Elego)	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
120	3	 48.60933	 -3.5501	Lanvellec	Yar (Dour Elego)	28/03/2022	2022	3	28	David Menanteau	1	Humide	NA	Favorable	NA	1	1	0	0
121	4	48.4606	-3.527	Lanvellec	Roscoat (affluent)	28/03/2022	2022	3	28	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
122	3	48.64888	-3.55396	Plouzelmabre	Roscoat	25/03/2022	2022	3	25	Marine Ihuel et Amélie Desmas	0	NA	NA	Favorable	NA	0	0	0	0
123	4	48.685150	 -3.567602	St Michel en Grève	Kerdu	28/03/2022	2022	3	28	Marine Ihuel et Amélie Desmas	1	Seche et Fragmentée	NA	Favorable	NA	1	0	0	1
124	2	48.628623	  -3.583876	Plufur	Yar	25/03/2022	2022	3	25	David Menanteau	0	NA	NA	Favorable	NA	0	0	0	0
1	1	48.585217	 -3.573359	Plounérin	Yar	20-oct	2022	10	20	Océane BLEUNVEN, Marine IHUEL, Camille LABONNE	1	1H+2SI	NA	Favorable	NA	3	1	2	0
2	1	48.62083	 -3.590561	Plufur	Yar	20-oct	2022	10	20	Camille LABONNE, Océane BLEUNVEN, Marine IHUEL	1	2H+2SF	NA	Favorable	NA	4	2	0	2
3	4	48.61123	 -3.51294	Plouaret	Roscoat	05/12/2022	2022	12	5	David MENANTEAU	0	NA	NA	Favorable	NA	0	0	0	0
5	4	48.62734	 -3.51969	Plouaret	Roscoat	05/12/2022	2022	12	5	David MENANTEAU	1	1H	NA	Très favorable	NA	1	1	0	0
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	05/12/2022	2022	12	5	David MENANTEAU	1	1SF	NA	Favorable	NA	1	0	0	1
7	3	48.63302	 -3.543	Lanvellec	Roscoat	05/12/2022	2022	12	5	Océane BLEUNVEN	1	4SF	NA	Très favorable	NA	4	0	0	4
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	06/12/2022	2022	12	6	Océane BLEUNVEN	0	NA	NA	Favorable	NA	0	0	0	0
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	05/12/2022	2022	12	5	David MENANTEAU	1	1SF	NA	Favorable	NA	1	0	0	1
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	06/12/2022	2022	12	6	Océane BLEUNVEN	0	NA	NA	Favorable	NA	0	0	0	0
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	06/12/2022	2022	12	6	Océane BLEUNVEN	1	2H	NA	Très favorable	NA	2	2	0	0
16	2	48.65719	 -3.57631	Tréduder	Yar	06/12/2022	2022	12	6	Océane BLEUNVEN	0	NA	NA	Favorable	NA	0	0	0	0
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	06/12/2022	2022	12	6	Océane BLEUNVEN	1	1SI + 2SF	NA	Favorable	NA	3	0	1	2
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	06/12/2022	2022	12	6	Océane BLEUNVEN	1	2SI	NA	Favorable	NA	2	0	2	0
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	06/12/2022	2022	12	6	Océane BLEUNVEN	1	1H	NA	Favorable	NA	1	1	0	0
24	1	48.622,	 -3.603	Trémel	Yar	20-oct	2022	10	20	Océane BLEUNVEN, Marine IHUEL, Camille LABONNE	0	NA	NA	Favorable	NA	0	0	0	0
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	05/12/2022	2022	12	5	David MENANTEAU	0	NA	NA	Favorable	NA	0	0	0	0
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	05/12/2022	2022	12	5	David MENANTEAU	1	1SF	NA	Favorable	NA	1	0	0	1
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	05/12/2022	2022	12	5	David MENANTEAU	0	NA	NA	Favorable	NA	0	0	0	0
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	05/12/2022	2022	12	5	David MENANTEAU	0	NA	NA	Favorable	NA	0	0	0	0
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	05/12/2022	2022	12	5	David MENANTEAU	0	NA	NA	Très favorable	NA	0	0	0	0
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	20-oct	2022	10	20	Océane BLEUNVEN, Marine IHUEL, Camille LABONNE	1	2SF	NA	Favorable	NA	2	0	0	2
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	20-oct	2022	10	20	Océane BLEUNVEN, Marine IHUEL, Camille LABONNE	1	1SF	NA	Favorable	NA	1	0	0	1
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	20-oct	2022	10	20	Océane BLEUNVEN, Marine IHUEL, Camille LABONNE	1	1SF	NA	Favorable	NA	1	0	0	1
45	2	48.59425	 -3.57095	Plufur	Yar	28/10/2022	2022	10	28	Camille LABONNE, Alizée KIRCH	0	NA	NA	Favorable	NA	0	0	0	0
46	3	48.632757	 -3.562284	Plufur	Yar	05/12/2022	2022	12	5	Océane BLEUNVEN	0	NA	NA	Favorable	NA	0	0	0	0
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	05/12/2022	2022	12	5	Océane BLEUNVEN	0	NA	NA	Favorable	NA	0	0	0	0
53	2	48.61999	 -3.5675	Plufur	Yar	28/10/2022	2022	10	28	Camille LABONNE, Alizée KIRCH	0	NA	NA	Favorable	NA	0	0	0	0
